t_begin,soc begin[%],power[W]
2016-09-02 20:50:00,0.019634724509475034,-1.8505290708735571
2016-09-02 20:51:00,0.01882308895207435,-1.7740342356969419
2016-09-02 20:52:00,0.0180450037609792,-1.7007014463902377
2016-09-02 20:53:00,0.017299082073965938,-1.6303999944637695
2016-09-02 20:54:00,0.016583994357095865,-1.5630045744716923
2016-09-02 20:55:00,0.015898466034959157,-1.4983950606634484
2016-09-02 20:56:00,0.015241275218878697,-1.4364562928801636
2016-09-02 20:57:00,0.014611250529018975,-1.377077871291678
2016-09-02 20:58:00,0.014007269006522625,-1.3201539596251952
2016-09-02 20:59:00,0.013428254111950172,-1.2655830965198667
2016-09-02 21:00:00,0.012873173806459002,-1.2132680146895987
2016-09-02 21:01:00,0.012341038712296897,-1.163115467547048
2016-09-02 21:02:00,0.011830900349337665,-1.1150360630123803
2016-09-02 21:03:00,0.011341849444507673,-1.068944104171078
2016-09-02 21:04:00,0.010873014311099306,-1.0247574365350163
2016-09-02 21:05:00,0.010423559295075177,-0.9823973016117148
2016-09-02 21:06:00,0.009992683285596354,-0.9417881965213287
2016-09-02 21:07:00,0.009579618287122088,-0.9028577394215762
2016-09-02 21:08:00,0.009183628050533677,-0.8655365404981396
2016-09-02 21:09:00,0.008804006760841511,-0.8297580782807457
2016-09-02 21:10:00,0.008440077779139429,-0.795458581079092
2016-09-02 21:11:00,0.00809119243656088,-0.7625769133128085
2016-09-02 21:12:00,0.00775672887809035,-0.7310544665436147
2016-09-02 21:13:00,0.007436090954167711,-0.7008350550164967
2016-09-02 21:14:00,0.007128707158107844,-0.6718648155087404
2016-09-02 21:15:00,0.006834029607446116,-0.644092111326946
2016-09-02 21:16:00,0.006551533067390438,-0.6174674402681821
2016-09-02 21:17:00,0.006280714014641235,-0.5919433463894014
2016-09-02 21:18:00,0.0060210897399090415,-0.567474335420588
2016-09-02 21:19:00,0.00577219748753159,-0.5440167936750911
2016-09-02 21:20:00,0.00553359363065655,-0.521528910313923
2016-09-02 21:21:00,0.005304852880518865,-0.49997060281947997
2016-09-02 21:22:00,0.005085567528405058,-0.4793034455581093
2016-09-02 21:23:00,0.004875346718949746,-0.45949060128165137
2016-09-02 21:24:00,0.004673815753475337,-0.4404967554773572
2016-09-02 21:25:00,0.0044806154221256195,-0.4222880534169746
2016-09-02 21:26:00,0.004295401363609403,-0.4048320398150708
2016-09-02 21:27:00,0.00411784345140981,-0.38809760098468543
2016-09-02 21:28:00,0.003947625205363896,-0.3720549093757376
2016-09-02 21:29:00,0.0037844432275675197,-0.35667537040959246
2016-09-02 21:30:00,0.0036280066615984002,-0.3419315715165259
2016-09-02 21:31:00,0.003478036674091152,-0.32779723327417315
2016-09-02 21:32:00,0.0033342659577428307,-0.314247162564358
2016-09-02 21:33:00,0.0031964382548637263,-0.30125720766703706
2016-09-02 21:34:00,0.003064307900623798,-0.28880421522208005
2016-09-02 21:35:00,0.002937639385175517,-0.27686598894830855
2016-09-02 21:36:00,0.0028162069338823993,-0.26542125008848605
2016-09-02 21:37:00,0.002699794104896221,-0.2544495994796717
2016-09-02 21:38:00,0.0025881934033700495,-0.24393148119431704
2016-09-02 21:39:00,0.002481205911618156,-0.23384814768282597
2016-09-02 21:40:00,0.002378640934564285,-0.22418162635762748
2016-09-02 21:41:00,0.0022803156598460274,-0.21491468756080734
2016-09-02 21:42:00,0.0021860548319684804,-0.2060308138513496
2016-09-02 21:43:00,0.0020956904399284148,-0.1975141705653589
2016-09-02 21:44:00,0.0020090614177506257,-0.1893495775926428
2016-09-02 21:45:00,0.0019260133574029753,-0.18152248231902696
2016-09-02 21:46:00,0.0018463982335788407,-0.17401893368844149
2016-09-02 21:47:00,0.00177007413985584,-0.16682555733548293
2016-09-02 21:48:00,0.00169690503576133,-0.15992953174981783
2016-09-02 21:49:00,0.0016267605042921116,-0.15331856541580524
2016-09-02 21:50:00,0.0015595155194606182,-0.14698087491335035
2016-09-02 21:51:00,0.0014950502234459908,-0.14090516390937846
2016-09-02 21:52:00,0.0014332497129594213,-0.1350806030239426
2016-09-02 21:53:00,0.0013740038344401482,-0.1294968105283317
2016-09-02 21:54:00,0.0013172069877171958,-0.12414383384054124
2016-09-02 21:55:00,0.001262757937787134,-0.11901213178746316
2016-09-02 21:56:00,0.00121055963437158,-0.11409255759449416
2016-09-02 21:57:00,0.0011605190389353984,-0.10937634258790678
2016-09-02 21:58:00,0.0011125469588529832,-0.10485508055935755
2016-09-02 21:59:00,0.0010665578884322124,-0.10052071278853505
2016-09-02 22:00:00,0.0010224698565074164,-0.09636551367465435
2016-09-02 22:01:00,0.0009802042803343225,-0.09238207696813774
2016-09-02 22:02:00,0.0009396858255237357,-0.08856330257117394
2016-09-02 22:03:00,0.000900842271764449,-0.08490238387917758
2016-09-02 22:04:00,0.000863604384098143,-0.08139279564982672
2016-09-02 22:05:00,0.0008279057895148856,-0.07802828237702997
2016-09-02 22:06:00,0.0007936828586477672,-0.07480284713185294
2016-09-02 22:07:00,0.0007608745923618668,-0.07171074088306138
2016-09-02 22:08:00,0.0007294225130271908,-0.06874645224199137
2016-09-02 22:09:00,0.0006992705602894753,-0.06590469764706769
2016-09-02 22:10:00,0.0006703649911460245,-0.06318041193801062
2016-09-02 22:11:00,0.000642654284155669,-0.06056873933238752
2016-09-02 22:12:00,0.0006160890476063763,-0.05806502477386689
2016-09-02 22:13:00,0.0005906219314774873,-0.05566480562552994
2016-09-02 22:14:00,0.0005662075430452374,-0.0533638037255588
2016-09-02 22:15:00,0.0005428023659726238,-0.051157917756673776
2016-09-02 22:16:00,0.0005203646827460126,-0.049043215932650326
2016-09-02 22:17:00,0.0004988545003194115,-0.047015929000583385
2016-09-02 22:18:00,0.00047823347882792756,-0.045072443511603694
2016-09-02 22:19:00,0.0004584648632526628,-0.043209295388023546
2016-09-02 22:20:00,0.0004395134179070384,-0.04142316374361352
2016-09-02 22:21:00,0.0004213453636335237,-0.03971086496900034
2016-09-02 22:22:00,0.0004039283175944884,-0.038069347052876186
2016-09-02 22:23:00,0.00038723123555375324,-0.0364956841450145
2016-09-02 22:24:00,0.000371224356542782,-0.03498707133977617
2016-09-02 22:25:00,0.00035587914981481,-0.033540819678107466
2016-09-02 22:26:00,0.00034116826399107866,-0.032154351353375105
2016-09-02 22:27:00,0.0003270654783097738,-0.030825195116375145
2016-09-02 22:28:00,0.000313545655890311,-0.029550981872854654
2016-09-02 22:29:00,0.0003005846989285327,-0.028329440457558815
2016-09-02 22:30:00,0.00028815950574539285,-0.02715839358880025
2016-09-02 22:31:00,0.00027624792960995415,-0.026035753986231217
2016-09-02 22:32:00,0.0002648287392651159,-0.024959520651152346
2016-09-02 22:33:00,0.00025388158108478594,-0.023927775299366107
2016-09-02 22:34:00,0.00024338694279559027,-0.022938678943910346
2016-09-02 22:35:00,0.000233326118697384,-0.021990468611018568
2016-09-02 22:36:00,0.00022368117632413023,-0.02108145420862491
2016-09-02 22:37:00,0.00021443492447824212,-0.020210015502782733
2016-09-02 22:38:00,0.00020557088259105672,-0.01937459923596977
2016-09-02 22:39:00,0.00019707325134721033,-0.01857371635930212
2016-09-02 22:40:00,0.000188926884522955,-0.017805939374660327
2016-09-02 22:41:00,0.00018111726199020924,-0.01706989979072435
2016-09-02 22:42:00,0.00017363046383638277,-0.016364285688920618
2016-09-02 22:43:00,0.00016645314555176847,-0.01568783937729872
2016-09-02 22:44:00,0.0001595725142459357,-0.015039355153654068
2016-09-02 22:45:00,0.00015297630584521025,-0.01441767715791248
2016-09-02 22:46:00,0.00014665276323209075,-0.013821697307781485
2016-09-02 22:47:00,0.00014059061529008132,-0.01325035332499584
2016-09-02 22:48:00,0.00013477905681420595,-0.012702626842165225
2016-09-02 22:49:00,0.00012920772925185278,-0.012177541589557994
2016-09-02 22:50:00,0.00012386670223888874,-0.011674161653161267
2016-09-02 22:51:00,0.00011874645589978292,-0.011191589804683443
2016-09-02 22:52:00,0.00011383786388018492,-0.010728965905497588
2016-09-02 22:53:00,0.00010913217707952808,-0.010285465373867531
2016-09-02 22:54:00,0.00010462100805590197,-0.009860297709461452
2016-09-02 22:55:00,0.000100296316078068,-0.009452705092472482
2016-09-02 22:56:00,9.615039279189586e-05,-0.009061961028702523
2016-09-02 22:57:00,9.217584848106142e-05,-0.008687369051933574
2016-09-02 22:58:00,8.836559889688003e-05,-0.008328261488915639
2016-09-02 22:59:00,8.471285262981176e-05,-0.007983998264988803
2016-09-02 23:00:00,8.121109900481668e-05,-0.007653965760331462
2016-09-02 23:01:00,7.785409647835551e-05,-0.007337575726160618
2016-09-02 23:02:00,7.463586151074121e-05,-0.00703426422624524
2016-09-02 23:03:00,7.155065790273891e-05,-0.006743490636373278
2016-09-02 23:04:00,6.859298657099624e-05,-0.006464736680456033
2016-09-02 23:05:00,6.575757574623483e-05,-0.006197505506600554
2016-09-02 23:06:00,6.303937157667318e-05,-0.005941320799153262
2016-09-02 23:07:00,6.04335291209042e-05,-0.005695725934042282
2016-09-02 23:08:00,5.793540371123653e-05,-0.005460283160098971
2016-09-02 23:09:00,5.554054267610541e-05,-0.005234572825010439
2016-09-02 23:10:00,5.3244677401978024e-05,-0.005018192620589925
2016-09-02 23:11:00,5.104371572628069e-05,-0.004810756869347491
2016-09-02 23:12:00,4.893373464323355e-05,-0.0046118958377060525
2016-09-02 23:13:00,4.6910973310906335e-05,-0.004421255073198236
2016-09-02 23:14:00,4.497182634897728e-05,-0.004238494778300594
2016-09-02 23:15:00,4.311283741112614e-05,-0.004063289198256627
2016-09-02 23:16:00,4.133069302592587e-05,-0.0038953260468694343
2016-09-02 23:17:00,3.9622216689579624e-05,-0.0037343059456170463
2016-09-02 23:18:00,3.7984363204659864e-05,-0.0035799418914115033
2016-09-02 23:19:00,3.6414213252286395e-05,-0.0034319587450080857
2016-09-02 23:20:00,3.490896818868636e-05,-0.003290092740730828
2016-09-02 23:21:00,3.3465945056786875e-05,-0.003154091014183643
2016-09-02 23:22:00,3.208257180495194e-05,-0.0030237111572729335
2016-09-02 23:23:00,3.0756382700884866e-05,-0.0028987207778931423
2016-09-02 23:24:00,2.948501393865103e-05,-0.002778897095583524
2016-09-02 23:25:00,2.8266199423044223e-05,-0.0026640265338542524
2016-09-02 23:26:00,2.709776673275727e-05,-0.00255390434648535
2016-09-02 23:27:00,2.5977633247456678e-05,-0.0024483342524853576
2016-09-02 23:28:00,2.49038024349631e-05,-0.0023471280830404113
2016-09-02 23:29:00,2.3874360293278707e-05,-0.002250105446448936
2016-09-02 23:30:00,2.2887471939573033e-05,-0.002157093411041947
2016-09-02 23:31:00,2.1941378338238846e-05,-0.0020679261894356238
2016-09-02 23:32:00,2.103439316743375e-05,-0.0019824448514276344
2016-09-02 23:33:00,2.0164899811544436e-05,-0.0019004970335627935
2016-09-02 23:34:00,1.933134848103444e-05,-0.001821936670681134
2016-09-02 23:35:00,1.853225345003394e-05,-0.0017466237387902559
2016-09-02 23:36:00,1.776619040670488e-05,-0.0016744239979376708
2016-09-02 23:37:00,1.703179391638134e-05,-0.0016052087597301051
2016-09-02 23:38:00,1.6327754986675152e-05,-0.0015388546528543932
2016-09-02 23:39:00,1.5652818735423224e-05,-0.0014752434099146582
2016-09-02 23:40:00,1.5005782152127321e-05,-0.0014142616489404216
2016-09-02 23:41:00,1.4385491955223627e-05,-0.0013558006748787253
2016-09-02 23:42:00,1.3790842536417168e-05,-0.0012997562877475931
2016-09-02 23:43:00,1.3220773989159452e-05,-0.0012460285927878936
2016-09-02 23:44:00,1.2674270220392831e-05,47.12076950474118
2016-09-02 23:45:00,0.018664645532513777,-1.7591012977998095
2016-09-02 23:46:00,0.017893109875584037,-1.686385787237668
2016-09-02 23:47:00,0.01715346698644471,-1.6166760977973211
2016-09-02 23:48:00,0.016444398522498516,-1.5498479787888448
2016-09-02 23:49:00,0.01576464063706481,-1.4857823156163321
2016-09-02 23:50:00,0.01511298172670677,-1.4243649174794497
2016-09-02 23:51:00,0.014488260271671924,-1.3654863138350366
2016-09-02 23:52:00,0.013889362765603925,-1.309041559283709
2016-09-02 23:53:00,0.013315221730830367,-1.2549300465158
2016-09-02 23:54:00,0.012764813815691858,-1.2030553269895818
2016-09-02 23:55:00,0.012237157970520988,-1.153324939020723
2016-09-02 23:56:00,0.011731313699020671,-1.1056502429845698
2016-09-02 23:57:00,0.011246379381922175,-1.0599462633195216
2016-09-02 23:58:00,0.01078149066993993,-1.0161315370737178
2016-09-02 23:59:00,0.010335818943153212,-0.9741279687012944
