t_begin,soc begin[%],power[W]
2016-09-02 12:03:00,89.35689899152695,984.502199761799
2016-09-02 12:04:00,89.74659777893265,949.7350664631256
2016-09-02 12:05:00,90.1225345760743,916.0607588746407
2016-09-02 12:06:00,90.48514195979551,883.4593121572068
2016-09-02 12:07:00,90.83484460419108,851.9094646954698
2016-09-02 12:08:00,91.1720587672997,821.388893593671
2016-09-02 12:09:00,91.49719187101387,791.8744265062304
2016-09-02 12:10:00,91.81064216483925,441.16995127979857
2016-09-02 12:11:00,91.98527193722084,153.849284514428
2016-09-02 12:12:00,92.04617061234114,-664.9262746447827
2016-09-02 12:13:00,91.7545362813566,-591.3614991264299
2016-09-02 12:14:00,91.49516720279237,-998.6152316729037
2016-09-02 12:15:00,91.05717806609373,-1024.8759218110024
2016-09-02 12:16:00,90.60767108284328,-892.3140570482735
2016-09-02 12:17:00,90.21630526834842,-868.3362902349784
2016-09-02 12:18:00,89.83545601824537,-953.1314876637966
2016-09-02 12:19:00,89.41741589207703,-1036.3301122136484
2016-09-02 12:20:00,88.96288514110613,-1064.5333679063922
2016-09-02 12:21:00,88.49598454114718,-1092.7541464437313
2016-09-02 12:22:00,88.01670640674203,-1121.020154704705
2016-09-02 12:23:00,87.5250309002926,-1094.7514434213815
2016-09-02 12:24:00,87.04487675844112,-1069.0044635123093
2016-09-02 12:25:00,86.57601515163748,-987.5311258839786
2016-09-02 12:26:00,86.14288746484625,-318.362902511245
2016-09-02 12:27:00,86.00325461286764,1277.0603213359311
2016-09-02 12:28:00,86.50875765672977,1233.7907662212363
2016-09-02 12:29:00,86.99713316835901,1191.6916375037779
2016-09-02 12:30:00,87.4688444415376,-869.0274178495567
2016-09-02 12:31:00,87.0876920652878,-789.607793023703
2016-09-02 12:32:00,86.74137285782126,-940.2231989937612
2016-09-02 12:33:00,86.32899426177137,-1030.4497756480216
2016-09-02 12:34:00,85.87704260578539,-1062.7363092262776
2016-09-02 12:35:00,85.41093018945807,-1094.9427291984969
2016-09-02 12:36:00,84.93069215033593,-1070.03766098547
2016-09-02 12:37:00,84.46137738674581,-1045.6171445205775
2016-09-02 12:38:00,84.00277337599117,-784.5030091728802
2016-09-02 12:39:00,83.65869310881008,-520.5518081153064
2016-09-02 12:40:00,83.43038091226828,1492.0719230460875
2016-09-02 12:41:00,84.0209927151407,1443.5269206448024
2016-09-02 12:42:00,84.59238878789593,1396.0882060217525
2016-09-02 12:43:00,85.14500703611287,1349.7803870552386
2016-09-02 12:44:00,85.6792951059889,1304.6216338564566
